id,Salary,country_id,job_id
0,"€31,195",0,1
1,"€50,399",2,1
2,"€41,286",1,1
3,"£30,126",3,1
4,"$67,377",4,1
5,"€37,086",0,6
6,"€60,806",2,6
7,"€45,238",1,6
8,"£47,736",3,6
9,"$117,345",4,6
10,"€31,346",0,3
11,"€63,108",2,3
12,"€47,139",1,3
13,"£35,948",3,3
14,"$65,817",4,3
15,"€30,864",0,7
16,"€49,646",2,7
17,"€41,378",1,7
18,"£35,760",3,7
19,"$94,934",4,7
20,"€41,634",0,0
21,"€75,802",2,0
22,"€52,822",1,0
23,"£60,766",3,0
24,"$136,633",4,0
25,"€30,905",0,4
26,"€39,947",2,4
27,"€42,263",1,4
28,"£22,613",3,4
29,"$55,289",4,4
30,"€27,357",0,5
31,"€68,129",2,5
32,"€48,643",1,5
33,"£40,869",3,5
34,"$83,794",4,5
35,"€24,771",0,8
36,"€36,622",2,8
37,"€60,388",1,8
38,"£21,426",3,8
39,"$57,742",4,8
40,"€45,592",0,2
41,"€74,683",2,2
42,"€58,845",1,2
43,"£53,680",3,2
44,"$83,408",4,2
