,id,Salary,country_id,job_id
0,0,31195.0,0,1
1,1,50399.0,2,1
2,2,41286.0,1,1
3,3,33349.481999999996,3,1
4,4,60069.29058,4,1
5,5,37086.0,0,6
6,6,60806.0,2,6
7,7,45238.0,1,6
8,8,52843.752,3,6
9,9,104617.7613,4,6
10,10,31346.0,0,3
11,11,63108.0,2,3
12,12,47139.0,1,3
13,13,39794.436,3,3
14,14,58678.48818,4,3
15,15,30864.0,0,7
16,16,49646.0,2,7
17,17,41378.0,1,7
18,18,39586.32,3,7
19,19,84637.45836,4,7
20,20,41634.0,0,0
21,21,75802.0,2,0
22,22,52822.0,1,0
23,23,67267.962,3,0
24,24,121813.78482,4,0
25,25,30905.0,0,4
26,26,39947.0,2,4
27,27,42263.0,1,4
28,28,25032.591,3,4
29,29,49292.35506,4,4
30,30,27357.0,0,5
31,31,68129.0,2,5
32,32,48643.0,1,5
33,33,45241.983,3,5
34,34,74705.70276,4,5
35,35,24771.0,0,8
36,36,36622.0,2,8
37,37,60388.0,1,8
38,38,23718.582,3,8
39,39,51479.30268,4,8
40,40,45592.0,0,2
41,41,74683.0,2,2
42,42,58845.0,1,2
43,43,59423.76,3,2
44,44,74361.56832,4,2
